fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,metrics.icuHeadroomRatio,metrics.icuHeadroomDetails,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,riskLevels.icuHeadroomRatio,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,actuals.hospitalBeds.typicalUsageRate,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,actuals.icuBeds.typicalUsageRate,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered
10980,US,,,cbsa,,iso1:us#cbsa:10980,,28405,0.004,other,0.0,,0.92,1.19,,,0.27,0,0,0,4,1,4,0,2269,63,,,,128,44,2,0.34,9,2,0,0.47,0,,13478,12887,2021-06-25,,0.474,0.454,1,26365
11020,US,,,cbsa,,iso1:us#cbsa:11020,,121829,0.004,other,0.6,,0.45,0.8,,,0.76,0,0,0,4,0,4,1,13518,341,,,,586,299,7,0.66,45,34,1,0.64,1,,51624,44370,2021-06-25,,0.424,0.364,0,
11060,US,,,cbsa,,iso1:us#cbsa:11060,,24530,0.018,other,0.6,,1.0,1.17,,,0.36,0,0,0,4,1,4,0,3132,56,,,,49,26,0,0.52,4,1,0,0.24,0,,10115,8574,2021-06-25,,0.412,0.35,0,
11100,US,,,cbsa,,iso1:us#cbsa:11100,,265053,0.031,other,6.0,,1.01,0.46,,,,1,1,1,4,1,4,4,35185,790,,,,1156,,27,,81,,17,,39,,92177,78171,2021-06-25,,0.348,0.295,0,165143
11140,US,,,cbsa,,iso1:us#cbsa:11140,,34781,,other,3.3,,1.26,1.02,,,,2,4,1,4,2,4,4,2970,111,,,,,,,,,,,,2,,13022,11829,2021-06-25,,0.374,0.34,0,24735
11180,US,,,cbsa,,iso1:us#cbsa:11180,,123351,0.021,other,1.6,,0.83,0.96,,,,1,0,1,4,0,4,4,13406,82,,,,296,150,3,0.4943918918918919,14,,,,1,,65855,61054,2021-06-25,,0.534,0.495,0,120941
11220,US,,,cbsa,,iso1:us#cbsa:11220,,49221,0.002,other,0.0,,0.99,1.17,,,0.57,0,0,0,4,1,4,0,4254,127,,,,130,64,0,0.64,8,4,1,0.56,0,,26743,24411,2021-06-25,,0.543,0.496,0,
11260,US,,,cbsa,,iso1:us#cbsa:11260,,396317,0.013,other,5.4,,1.08,0.38,,,0.8,1,0,1,4,1,4,1,42634,232,,,,1274,565,10,0.6658869701726845,65,52,4,0.6290434782608696,0,,173967,154404,2021-06-25,,0.439,0.39,0,
11380,US,,,cbsa,,iso1:us#cbsa:11380,,18705,,other,2.3,,1.0,1.17,,,,1,4,1,4,1,4,4,1840,47,,,,34,18,0,0.18,1,,0,,0,,6317,5527,2021-06-25,,0.338,0.295,0,11615
11420,US,,,cbsa,,iso1:us#cbsa:11420,,34594,0.057,other,5.8,,0.84,0.83,,,,1,1,1,4,0,4,4,4017,61,,,,25,13,2,0.49,1,1,,0.18,3,,13634,12987,2021-06-25,,0.394,0.375,0,
11460,US,,,cbsa,,iso1:us#cbsa:11460,,367601,0.004,other,1.2,,0.79,0.71,,,0.85,1,0,1,4,0,4,2,27128,308,,,,1731,1463,44,0.78,178,151,16,0.69,20,,212038,198232,2021-06-25,,0.577,0.539,0,410270
11500,US,,,cbsa,,iso1:us#cbsa:11500,,113605,0.061,other,0.9,,0.6,0.8,,,0.94,0,1,0,4,0,4,3,14702,329,,,,590,199,2,0.49,22,21,1,0.94,0,,35971,30061,2021-06-25,,0.317,0.265,0,63847
11540,US,,,cbsa,,iso1:us#cbsa:11540,,237974,0.003,other,0.5,,0.54,0.84,,,,0,0,0,4,0,4,4,30384,298,,,,542,235,4,0.4729335793357933,28,,,,1,,114930,93039,2021-06-25,,0.483,0.391,1,
11580,US,,,cbsa,,iso1:us#cbsa:11580,,38001,0.015,other,1.1,,0.83,0.99,,,0.5,1,0,1,4,0,4,0,4434,97,,,,55,13,1,0.35,5,2,0,0.38,0,,13708,11527,2021-06-25,,0.361,0.303,0,
11620,US,,,cbsa,,iso1:us#cbsa:11620,,58364,0.098,other,14.4,,1.25,0.62,,,,2,1,2,4,2,4,4,7803,150,,,,237,104,3,0.3947257383966245,13,,,,0,,20412,17301,2021-06-25,,0.35,0.296,0,
11640,US,,,cbsa,,iso1:us#cbsa:11640,,174606,0.011,other,1.2,,0.9,0.95,,,,1,0,1,4,0,4,4,7370,,,,,,,,,,,,,2,,114239,88897,2021-06-25,,0.654,0.509,,
11660,US,,,cbsa,,iso1:us#cbsa:11660,,22320,0.061,other,17.9,,1.22,0.77,,,0.8,2,1,2,4,2,4,1,2186,41,,,,25,9,0,0.51,1,1,1,,7,,8776,7121,2021-06-25,,0.393,0.319,0,
11700,US,,,cbsa,,iso1:us#cbsa:11700,,462680,0.017,other,1.4,,0.77,0.51,,,0.7,1,0,1,4,0,4,0,34320,641,,,,1408,925,17,0.6983380681818181,135,94,12,,6,,228490,217778,2021-06-25,,0.494,0.471,0,
11740,US,,,cbsa,,iso1:us#cbsa:11740,,53484,0.002,other,1.6,,0.92,1.1,,,0.89,1,0,1,4,1,4,3,4361,97,,,,123,24,1,0.57,8,7,1,0.47,2,,18080,16248,2021-06-25,,0.338,0.304,0,
11780,US,,,cbsa,,iso1:us#cbsa:11780,,97241,0.005,other,4.4,,0.69,0.79,,,0.52,1,0,1,4,0,4,0,7177,179,,,,431,210,1,0.58,21,10,0,0.49,6,,40648,37654,2021-06-25,,0.418,0.387,0,
11820,US,,,cbsa,,iso1:us#cbsa:11820,,40224,0.069,other,7.5,,1.18,0.79,,,0.21,2,1,1,4,2,4,0,1063,9,,,,83,29,1,0.5,11,2,1,0.66,3,,21215,19255,2021-06-25,,0.527,0.479,0,38731
11860,US,,,cbsa,,iso1:us#cbsa:11860,,16073,0.034,other,0.0,,1.0,1.17,,,,0,1,0,4,1,4,4,1568,14,,,,25,7,0,0.41,4,0,0,0.27,0,,5678,4804,2021-06-25,,0.353,0.299,0,
11900,US,,,cbsa,,iso1:us#cbsa:11900,,65327,0.007,other,2.0,,1.18,1.12,,,0.35,2,0,1,4,2,4,0,5245,60,,,,156,18,0,0.64,3,1,2,,1,,27238,25502,2021-06-25,,0.417,0.39,0,
11940,US,,,cbsa,,iso1:us#cbsa:11940,,53794,0.018,other,1.2,,0.91,0.64,,,0.66,1,0,1,4,1,4,0,6665,102,,,,190,29,0,0.28,10,6,0,0.88,0,,16403,13844,2021-06-25,,0.3,0.272,0,
11980,US,,,cbsa,,iso1:us#cbsa:11980,,82737,0.051,other,3.8,,0.87,0.84,,,0.89,1,1,1,4,0,4,3,6036,194,,,,127,50,1,0.39,6,5,2,0.52,0,,25560,22268,2021-06-25,,0.309,0.269,0,45304
12020,US,,,cbsa,,iso1:us#cbsa:12020,,213750,0.007,other,1.6,,0.75,0.79,,,,1,0,1,4,0,4,4,24069,310,,,,,,,,,,,,3,,87188,80010,2021-06-25,,0.408,0.374,0,164208
12060,US,,,cbsa,,iso1:us#cbsa:12060,,6020364,0.018,other,3.1,,0.95,0.1,,,0.78,1,0,1,4,1,4,1,601692,9243,,,,13176,7029,204,0.7480843958712811,1268,987,165,,209,,2564568,2259300,2021-06-25,,0.426,0.375,7,4743891
12100,US,,,cbsa,,iso1:us#cbsa:12100,,263670,0.014,other,1.9,,0.83,0.71,,,0.64,1,0,1,4,0,4,0,31639,692,,,,1484,515,5,0.65,72,46,0,0.59,5,,147039,129104,2021-06-25,,0.558,0.49,1,266852
12120,US,,,cbsa,,iso1:us#cbsa:12120,,36633,0.027,other,2.7,,0.82,0.89,,,0.4,1,0,1,4,0,4,0,4021,80,,,,142,33,0,0.34,14,5,0,0.39,0,,9360,7258,2021-06-25,,0.256,0.198,0,15937
12140,US,,,cbsa,,iso1:us#cbsa:12140,,43475,0.051,other,3.9,,0.92,0.91,,,0.34,1,1,1,4,1,4,0,4410,88,,,,53,17,0,0.48,8,2,1,0.38,3,,15260,14447,2021-06-25,,0.351,0.332,0,
12180,US,,,cbsa,,iso1:us#cbsa:12180,,76576,0.001,other,0.2,,0.78,1.09,,,0.36,0,0,0,4,0,4,0,6339,92,,,,99,73,1,0.58,19,6,0,,1,,38107,35117,2021-06-25,,0.498,0.459,0,
12220,US,,,cbsa,,iso1:us#cbsa:12220,,164542,0.043,other,3.1,,0.68,0.64,,,0.67,1,1,1,4,0,4,0,16287,176,,,,500,218,5,0.59,30,20,1,0.47,0,,60266,52517,2021-06-25,,0.366,0.319,0,110797
12260,US,,,cbsa,,iso1:us#cbsa:12260,,608980,0.02,other,3.0,,0.95,0.37,,,,1,0,1,4,1,4,4,65848,1152,,,,,,,,,,,,12,,214440,189183,2021-06-25,,0.352,0.311,1,
12300,US,,,cbsa,,iso1:us#cbsa:12300,,122302,0.006,other,1.8,,0.61,0.69,,,0.71,1,0,1,4,0,4,1,6599,74,,,,427,188,2,0.79,20,14,0,0.36,1,,67749,62883,2021-06-25,,0.554,0.514,0,124321
12380,US,,,cbsa,,iso1:us#cbsa:12380,,40062,0.002,other,0.0,,0.98,1.17,,,,0,0,0,4,1,4,4,4705,33,,,,159,,,0.27,18,,,0.26,0,,20193,19133,2021-06-25,,0.504,0.478,0,
12420,US,,,cbsa,,iso1:us#cbsa:12420,,2227083,0.026,other,2.9,,1.08,0.17,,,,1,0,1,4,1,4,4,168153,1980,,,,5470,2849,90,0.6975722120658137,427,478,38,,76,,1254775,1065998,2021-06-25,,0.563,0.479,2,2231665
12460,US,,,cbsa,,iso1:us#cbsa:12460,,26404,0.018,other,2.2,,0.97,1.2,,,0.74,1,0,1,4,1,4,1,2986,71,,,,80,18,1,0.21,6,4,0,0.29,0,,8961,8097,2021-06-25,,0.339,0.307,0,16757
12540,US,,,cbsa,,iso1:us#cbsa:12540,,900202,0.012,other,2.2,,0.76,0.29,,,0.61,1,0,1,4,0,4,0,110847,1405,,,,1832,758,22,0.55,138,84,6,0.53,0,,344326,291532,2021-06-25,,0.382,0.324,0,610298
12580,US,,,cbsa,,iso1:us#cbsa:12580,,2800053,0.008,other,1.1,,0.77,0.23,,,0.76,1,0,1,4,0,4,1,211554,4446,,,,8692,4994,111,0.7265473999079612,758,577,68,0.6543088512241055,42,,1576300,1429272,2021-06-25,,0.563,0.51,6,
12620,US,,,cbsa,,iso1:us#cbsa:12620,,152148,0.014,other,1.8,,0.53,0.63,,,0.89,1,0,1,4,0,4,3,6325,96,,,,773,424,7,0.75,71,63,4,0.89,0,,84458,79841,2021-06-25,,0.555,0.525,0,156194
12660,US,,,cbsa,,iso1:us#cbsa:12660,,64442,0.025,other,3.3,,0.98,0.98,,,0.66,1,0,1,4,1,4,0,6245,56,,,,161,47,0,0.34,10,6,0,0.26,1,,32999,28757,2021-06-25,,0.512,0.446,0,
12680,US,,,cbsa,,iso1:us#cbsa:12680,,46233,0.007,other,2.5,,0.78,0.92,,,0.32,1,0,1,4,0,4,0,5014,61,,,,40,20,2,0.48,12,3,1,0.62,2,,22047,19126,2021-06-25,,0.477,0.414,0,
12700,US,,,cbsa,,iso1:us#cbsa:12700,,212990,0.005,other,0.6,,0.75,1.01,,,0.36,0,0,0,4,0,4,0,13933,469,,,,430,283,2,0.74,49,17,0,0.78,1,,,,2021-06-25,,,,0,
