GEOID,County,State,Target_PctChg,AgeUnder15,Age15to24,Age25to34,Age35to44,Age45to64,Age65to84,asAgeOver85,Married_Family,Avg_HH_Size,Avg_Fam_Size,High_School,BS,Veterans,Born_in_State,Own_Comp,Broadband_Access,Mean_HHI,Median_HHI,Unempl_Rate,maskLow,maskHigh,DensPerSqMile,DominantReligion,Religiosity,Region,vaccineHest,Geographical_Point,CVAC_level_of_concern_for_vaccination_rollout,Social_Vulnerability_Index_SVI,per_dem,per_gop
55089,Ozaukee County,Wisconsin,6.578947368,0.124,0.125,0.101,0.112,0.29,0.177,0.023,0.6,2.43,2.89,0.986,0.483,0.054,0.726,0.946,0.914,122526,88154,1.8,0.28,0.72,370.7,Catholic,0.713004225,Midwest,0.3704,POINT (-89.732969 44.639954),0,0.01,0.431268907,0.551540188
55097,Portage County,Wisconsin,0,0.109,0.195,0.114,0.114,0.249,0.153,0.019,0.455,2.33,2.93,0.949,0.355,0.062,0.761,0.914,0.87,78508,56358,3.7,0.531,0.468,87.4,Catholic,0.663748411,Midwest,0.4493,POINT (-89.732969 44.639954),0.15,0.17,0.503115533,0.475309706
55101,Racine County,Wisconsin,-0.43956044,0.13,0.125,0.112,0.126,0.277,0.152,0.019,0.482,2.42,2.97,0.897,0.261,0.08,0.696,0.92,0.88,80173,60779,3.7,0.295,0.705,587.7,Catholic,0.560780521,Midwest,0.4725,POINT (-89.732969 44.639954),0.17,0.46,0.471193319,0.511775371
55105,Rock County,Wisconsin,0.758389262,0.124,0.137,0.12,0.119,0.273,0.147,0.021,0.46,2.46,3.06,0.919,0.232,0.078,0.695,0.923,0.853,72840,61243,4.6,0.258,0.741,223.3,Catholic,0.593466017,Midwest,0.455,POINT (-89.732969 44.639954),0.17,0.46,0.546602624,0.435074977
55109,St. Croix County,Wisconsin,-0.415343915,0.143,0.116,0.111,0.146,0.278,0.131,0.016,0.56,2.59,3.06,0.954,0.385,0.077,0.435,0.965,0.849,102083,85594,1.6,0.288,0.712,116.8,Catholic,0.683680123,Midwest,0.4171,POINT (-89.732969 44.639954),0.09,0.01,0.408944222,0.567813497
55117,Sheboygan County,Wisconsin,-0.180147059,0.129,0.116,0.125,0.113,0.279,0.161,0.022,0.508,2.31,2.97,0.949,0.279,0.063,0.776,0.904,0.877,77648,60706,2.3,0.416,0.584,225.9,Catholic,0.647778922,Midwest,0.4375,POINT (-89.732969 44.639954),0.03,0.22,0.410552787,0.569738377
55127,Walworth County,Wisconsin,-0.143302181,0.116,0.169,0.1,0.112,0.273,0.167,0.019,0.518,2.36,2.93,0.915,0.308,0.058,0.619,0.918,0.846,85484,63549,3.4,0.399,0.601,184.2,Catholic,0.525658332,Midwest,0.4288,POINT (-89.732969 44.639954),0.13,0.27,0.395642361,0.587690972
55131,Washington County,Wisconsin,0.155,0.116,0.116,0.103,0.122,0.299,0.165,0.024,0.572,2.44,2.92,0.949,0.311,0.084,0.829,0.932,0.906,94877,80513,4.3,0.393,0.607,306.2,Catholic,0.651375799,Midwest,0.3704,POINT (-89.732969 44.639954),0.06,0.01,0.302600204,0.683967299
55133,Waukesha County,Wisconsin,-0.098265896,0.121,0.118,0.105,0.124,0.288,0.165,0.027,0.581,2.49,3.04,0.965,0.46,0.062,0.757,0.952,0.917,119042,90548,3.2,0.381,0.619,709.4,Catholic,0.691783088,Midwest,0.3444,POINT (-89.732969 44.639954),0,0.02,0.387714742,0.595714115
55139,Winnebago County,Wisconsin,-0.859531773,0.115,0.146,0.137,0.122,0.258,0.148,0.021,0.45,2.31,2.97,0.924,0.311,0.071,0.765,0.911,0.848,77165,58347,2.3,0.394,0.606,384.3,Catholic,0.605213361,Midwest,0.4616,POINT (-89.732969 44.639954),0.04,0.16,0.468563893,0.508295048
55141,Wood County,Wisconsin,-0.909512761,0.12,0.1,0.114,0.111,0.283,0.18,0.032,0.469,2.21,2.81,0.911,0.197,0.086,0.823,0.909,0.862,73613,56278,4.4,0.523,0.477,94.2,Catholic,0.780652584,Midwest,0.4493,POINT (-89.732969 44.639954),0.08,0.15,0.396266163,0.588599932
56021,Laramie County,Wyoming,0.417879418,0.137,0.126,0.142,0.122,0.249,0.143,0.026,0.509,2.34,2.83,0.944,0.301,0.125,0.367,0.94,0.851,95612,70567,2.9,0.37,0.63,34.2,Catholic,0.450990865,West,0.6027,POINT (-107.55145 42.999627),0.48,0.27,0.338290872,0.620048019
56025,Natrona County,Wyoming,-0.111801242,0.147,0.12,0.139,0.138,0.244,0.144,0.015,0.529,2.37,2.84,0.929,0.207,0.069,0.519,0.942,0.863,79046,65034,2.6,0.278,0.723,14.1,Catholic,0.426520875,West,0.6836,POINT (-107.55145 42.999627),0.44,0.3,0.242315778,0.717885347
6001,Alameda County,California,2.727777778,0.114,0.115,0.167,0.153,0.253,0.125,0.018,0.505,2.8,3.39,0.896,0.506,0.035,0.495,0.953,0.906,141427,108322,3.9,0.082,0.918,2043.6,Catholic,0.351323703,West,0.1465,POINT (-119.662127 37.211164),0.53,0.47,0.80229625,0.177055948
6007,Butte County,California,-0.024344569,0.115,0.174,0.133,0.114,0.225,0.166,0.019,0.46,2.75,3.25,0.884,0.305,0.064,0.732,0.949,0.896,91685,62563,6.8,0.169,0.83,134.4,Catholic,0.359136364,West,0.2396,POINT (-119.662127 37.211164),0.66,0.81,0.494169068,0.47754846
6013,Contra Costa County,California,0.438923395,0.128,0.12,0.127,0.136,0.27,0.142,0.02,0.55,2.86,3.39,0.891,0.43,0.048,0.547,0.967,0.945,146387,107135,4,0.073,0.927,1465.2,Catholic,0.404306856,West,0.1638,POINT (-119.662127 37.211164),0.47,0.41,0.716387661,0.263023244
6017,El Dorado County,California,1.504504505,0.115,0.101,0.102,0.12,0.297,0.197,0.021,0.565,2.57,3.04,0.929,0.353,0.081,0.646,0.954,0.916,118681,87059,4.6,0.142,0.858,106,Catholic,0.30878503,West,0.1857,POINT (-119.662127 37.211164),0.43,0.18,0.444479843,0.532452772
6019,Fresno County,California,-0.037190083,0.161,0.141,0.155,0.13,0.212,0.109,0.017,0.464,3.11,3.69,0.766,0.22,0.049,0.685,0.916,0.821,76573,57518,8.3,0.102,0.897,156.2,Catholic,0.532591757,West,0.2205,POINT (-119.662127 37.211164),0.77,0.96,0.529112494,0.450822211
6023,Humboldt County,California,0.017405063,0.112,0.152,0.136,0.128,0.238,0.161,0.023,0.387,2.36,2.99,0.908,0.304,0.053,0.701,0.931,0.889,76880,51662,6.6,0.066,0.934,37.7,Catholic,0.234996992,West,0.2473,POINT (-119.662127 37.211164),0.66,0.76,0.650432963,0.316295694
6025,Imperial County,California,-0.046632124,0.159,0.145,0.152,0.121,0.213,0.115,0.016,0.487,3.54,4.18,0.717,0.184,0.044,0.588,0.92,0.841,64050,48472,11.3,0.036,0.964,41.8,Catholic,0.391392785,West,0.2344,POINT (-119.662127 37.211164),0.9,1,0.61141084,0.367555273
6029,Kern County,California,-0.054404145,0.166,0.145,0.157,0.129,0.214,0.101,0.011,0.498,3.2,3.79,0.763,0.171,0.053,0.667,0.906,0.834,75669,53067,8,0.155,0.845,103.3,Catholic,0.488380015,West,0.2556,POINT (-119.662127 37.211164),0.82,0.97,0.436941807,0.538892493
6031,Kings County,California,-0.622188906,0.15,0.147,0.172,0.137,0.207,0.095,0.01,0.516,3.09,3.54,0.715,0.176,0.073,0.65,0.936,0.847,72471,58453,7.1,0.14,0.86,110.1,Catholic,0.562497549,West,0.278,POINT (-119.662127 37.211164),0.75,0.97,0.426353231,0.548862237
6033,Lake County,California,1,0.123,0.088,0.12,0.119,0.272,0.212,0.011,0.408,2.44,3.19,0.859,0.154,0.1,0.692,0.929,0.807,67959,47138,11.8,0.014,0.985,51.5,Catholic,0.268831671,West,0.2596,POINT (-119.662127 37.211164),0.82,0.92,0.518784722,0.455659722
6037,Los Angeles County,California,3.432748538,0.119,0.129,0.163,0.137,0.253,0.123,0.019,0.447,2.96,3.63,0.798,0.338,0.031,0.519,0.945,0.881,104063,72797,5,0.083,0.917,2419.6,Catholic,0.545176326,West,0.1852,POINT (-119.662127 37.211164),0.71,0.77,0.710431686,0.268686599
6039,Madera County,California,0.920704846,0.156,0.14,0.136,0.133,0.218,0.131,0.014,0.588,3.35,3.59,0.729,0.141,0.054,0.671,0.951,0.863,83590,64827,8.4,0.126,0.875,70.6,Catholic,0.546879661,West,0.2524,POINT (-119.662127 37.211164),0.73,0.95,0.431257213,0.546852314
6041,Marin County,California,1.303278689,0.116,0.113,0.082,0.112,0.303,0.203,0.027,0.498,2.4,3.01,0.925,0.597,0.045,0.512,0.963,0.924,180587,110843,4.1,0.057,0.943,485.1,Catholic,0.457479725,West,0.1471,POINT (-119.662127 37.211164),0.31,0.27,0.823409349,0.157970745
6045,Mendocino County,California,-0.112847222,0.122,0.111,0.097,0.124,0.255,0.214,0.02,0.365,2.45,3.31,0.836,0.233,0.08,0.679,0.901,0.831,71732,51744,5.2,0.009,0.992,25.1,Catholic,0.34678567,West,0.2596,POINT (-119.662127 37.211164),0.69,0.88,0.664159129,0.306142699
6047,Merced County,California,0.466019417,0.164,0.156,0.148,0.132,0.209,0.102,0.012,0.5,3.36,3.73,0.691,0.144,0.046,0.605,0.936,0.902,79523,61167,9.7,0.151,0.849,132.2,Catholic,0.555855711,West,0.2448,POINT (-119.662127 37.211164),0.81,0.97,0.541091881,0.435128837
6053,Monterey County,California,1.731707317,0.149,0.142,0.141,0.133,0.226,0.121,0.019,0.519,3.25,3.78,0.721,0.257,0.047,0.56,0.965,0.89,102106,77514,3.9,0.095,0.904,126.5,Catholic,0.511585156,West,0.2071,POINT (-119.662127 37.211164),0.62,0.8,0.695331425,0.282512524
6055,Napa County,California,1.161157025,0.117,0.127,0.124,0.123,0.266,0.171,0.025,0.519,2.78,3.47,0.855,0.362,0.054,0.601,0.956,0.905,130499,92769,3.3,0.076,0.922,182.4,Catholic,0.535586589,West,0.169,POINT (-119.662127 37.211164),0.47,0.51,0.69073237,0.286680902
6057,Nevada County,California,0.173493976,0.088,0.089,0.102,0.119,0.273,0.243,0.035,0.516,2.5,3.06,0.953,0.358,0.09,0.669,0.959,0.888,97744,68818,1.9,0.141,0.859,103.1,Other,0.340539063,West,0.2159,POINT (-119.662127 37.211164),0.47,0.2,0.561633044,0.413651951
6059,Orange County,California,0.361538462,0.121,0.128,0.144,0.129,0.267,0.133,0.02,0.546,3,3.51,0.861,0.41,0.039,0.533,0.969,0.929,127176,95934,4.1,0.09,0.91,3807.7,Catholic,0.476988485,West,0.1619,POINT (-119.662127 37.211164),0.43,0.42,0.534925167,0.444559957
6061,Placer County,California,-0.540290621,0.129,0.112,0.106,0.133,0.269,0.175,0.023,0.596,2.68,3.14,0.941,0.419,0.083,0.637,0.972,0.92,124843,97723,3,0.107,0.894,247.6,Catholic,0.402873444,West,0.1713,POINT (-119.662127 37.211164),0.35,0.15,0.454728807,0.521187829
